Source,Target,Weight
645699943,1455948611,2
645699943,1042730379,1
645699943,785316881,3
645699943,499219108,1
645699943,2283640122,3
645699943,545330842,1
645699943,645063763,2
645699943,1905273353,1
645699943,457613996,1
645699943,809560106,3
645699943,765980997,3
645699943,625508948,2
645699943,815207449,1
645699943,460807227,1
645699943,1253602983,1
645699943,6026371,2
645699943,434751661,1
645699943,969268507,4
645699943,751968285,2
645699943,1062439553,3
645699943,676066401,2
645699943,1172461554,1
645699943,1028276532,1
645699943,792018504,2
645699943,392854640,2
645699943,2421189258,3
645699943,445094079,2
645699943,157976510,1
645699943,878924637,2
645699943,1029067317,1
645699943,718012373,1
645699943,761665933,2
645699943,865553523,1
645699943,903773962,4
645699943,540479987,1
645699943,952098628,2
645699943,976470107,1
645699943,1032400590,1
645699943,1121205366,1
645699943,1499668979,1
645699943,814190981,2
645699943,909359893,2
645699943,714922587,3
645699943,953969020,1
645699943,396588059,1
645699943,775858818,1
645699943,815695595,1
645699943,499519823,1
645699943,709816581,3
645699943,22042051,1
645699943,515604558,1
645699943,952146988,3
645699943,306733203,3
645699943,292757457,1
645699943,1142360538,2
645699943,839225426,3
645699943,345540980,1
645699943,358493424,1
645699943,1448480772,1
645699943,184308248,5
645699943,1016569233,3
645699943,981444602,1
645699943,122713843,1
645699943,547151579,1
645699943,727742239,3
645699943,659777202,1
645699943,1090994292,1
645699943,1975968206,2
645699943,754054222,1
645699943,741865291,1
645699943,727005454,1
645699943,1254708652,1
645699943,534924742,1
645699943,164940797,2
645699943,1182708927,2
645699943,645699943,7
645699943,353206013,1
645699943,527001744,1
645699943,1499317854,1
645699943,2567097778,1
645699943,457081057,2
645699943,790408030,1
645699943,1162396233,3
645699943,864669208,1
645699943,245978420,1
645699943,1149986878,3
645699943,2635602066,1
645699943,418177517,4
645699943,625610674,2
645699943,441824048,7
645699943,1317096404,1
645699943,1083785309,1
645699943,2442891605,2
645699943,2963576438,2
645699943,1660746916,1
645699943,569676375,2
645699943,1511240919,2
645699943,504177354,7
645699943,1328326808,2
645699943,2810531926,10
645699943,1308483392,1
645699943,921773879,1
645699943,812371064,1
645699943,417418686,1
645699943,2533592207,1
645699943,707611185,2
